QuarterEnd,ULUUN_Close_QuarterEnd
2016-03-31,0.208
2016-06-30,0.1911
2016-09-30,0.1911
2016-12-31,0.1911
2017-03-31,0.2051
2017-06-30,0.3264
2017-09-30,0.2974
2017-12-31,0.2985
2018-03-31,0.2738
2018-06-30,0.2244
2018-09-30,0.2201
2018-12-31,0.2233
2019-03-31,0.2459
2019-06-30,0.2384
2019-09-30,0.3081
2019-12-31,0.4101
2020-03-31,0.4617
2020-06-30,1.006
2020-09-30,1.122
2020-12-31,1.2347
2021-03-31,1.618
2021-06-30,1.1502
2021-09-30,1.3418
2021-12-31,1.6257
2022-03-31,1.9412
2022-06-30,5.018
2022-09-30,5.8818
2022-12-31,8.7936
2023-03-31,6.3234
2023-06-30,7.0379
2023-09-30,8.7031
2023-12-31,6.6305
2024-03-31,6.9971
2024-06-30,7.0175
2024-09-30,6.05
2024-12-31,6.41
2025-03-31,5.8
2025-06-30,7.1
2025-09-30,7.64
2025-12-31,6.51
