QuarterEnd,UMPAS_Close_QuarterEnd
2016-03-31,0.4766
2016-06-30,0.4491
2016-09-30,0.4216
2016-12-31,0.4033
2017-03-31,0.44
2017-06-30,0.4308
2017-09-30,0.7333
2017-12-31,0.5775
2018-03-31,0.5775
2018-06-30,0.4858
2018-09-30,0.3483
2018-12-31,0.55
2019-03-31,0.42
2019-06-30,0.4
2019-09-30,0.46
2019-12-31,0.62
2020-03-31,0.42
2020-06-30,0.79
2020-09-30,0.71
2020-12-31,2.61
2021-03-31,2.03
2021-06-30,1.39
2021-09-30,1.19
2021-12-31,1.29
2022-03-31,1.29
2022-06-30,1.29
2022-09-30,
2022-12-31,
2023-03-31,
2023-06-30,
2023-09-30,8.0
2023-12-31,7.97
2024-03-31,12.7
2024-06-30,11.28
2024-09-30,9.3
2024-12-31,9.3
2025-03-31,9.3
2025-06-30,9.3
2025-09-30,9.3
2025-12-31,9.3
