QuarterEnd,USAK_Close_QuarterEnd
2016-03-31,0.1503
2016-06-30,0.1421
2016-09-30,0.1468
2016-12-31,0.1607
2017-03-31,0.2388
2017-06-30,0.3238
2017-09-30,0.3145
2017-12-31,0.2854
2018-03-31,0.2644
2018-06-30,0.2248
2018-09-30,0.1922
2018-12-31,0.1594
2019-03-31,0.1465
2019-06-30,0.1465
2019-09-30,0.1939
2019-12-31,0.2427
2020-03-31,0.1781
2020-06-30,0.336
2020-09-30,0.35
2020-12-31,0.468
2021-03-31,0.484
2021-06-30,0.37
2021-09-30,0.328
2021-12-31,0.314
2022-03-31,0.292
2022-06-30,0.376
2022-09-30,0.612
2022-12-31,0.914
2023-03-31,0.732
2023-06-30,0.682
2023-09-30,2.824
2023-12-31,2.274
2024-03-31,2.126
2024-06-30,2.2
2024-09-30,2.252
2024-12-31,2.66
2025-03-31,4.41
2025-06-30,5.03
2025-09-30,3.36
2025-12-31,3.05
