QuarterEnd,VAKKO_Close_QuarterEnd
2016-03-31,0.9625
2016-06-30,0.9409
2016-09-30,1.2282
2016-12-31,1.4652
2017-03-31,1.7956
2017-06-30,2.1045
2017-09-30,2.5713
2017-12-31,2.2122
2018-03-31,3.2896
2018-06-30,2.2911
2018-09-30,2.4263
2018-12-31,2.0582
2019-03-31,2.0808
2019-06-30,2.2647
2019-09-30,3.1011
2019-12-31,3.5825
2020-03-31,3.2511
2020-06-30,4.2453
2020-09-30,4.8292
2020-12-31,5.1449
2021-03-31,10.9052
2021-06-30,10.2546
2021-09-30,7.4713
2021-12-31,7.8818
2022-03-31,11.0838
2022-06-30,13.3324
2022-09-30,20.0518
2022-12-31,53.232
2023-03-31,56.0244
2023-06-30,48.1488
2023-09-30,95.094
2023-12-31,71.4825
2024-03-31,72.964
2024-06-30,134.3421
2024-09-30,99.3128
2024-12-31,79.7626
2025-03-31,65.7983
2025-06-30,53.6
2025-09-30,58.1
2025-12-31,57.1
