QuarterEnd,VANGD_Close_QuarterEnd
2016-03-31,1.02
2016-06-30,0.92
2016-09-30,0.89
2016-12-31,2.35
2017-03-31,2.42
2017-06-30,2.0
2017-09-30,1.89
2017-12-31,3.2
2018-03-31,2.87
2018-06-30,2.54
2018-09-30,2.65
2018-12-31,1.3
2019-03-31,1.34
2019-06-30,1.92
2019-09-30,1.78
2019-12-31,1.43
2020-03-31,1.09
2020-06-30,1.62
2020-09-30,6.29
2020-12-31,7.73
2021-03-31,7.62
2021-06-30,5.35
2021-09-30,6.6
2021-12-31,4.57
2022-03-31,4.26
2022-06-30,3.4
2022-09-30,3.96
2022-12-31,6.12
2023-03-31,5.94
2023-06-30,7.59
2023-09-30,18.32
2023-12-31,17.8
2024-03-31,23.98
2024-06-30,18.2
2024-09-30,18.3
2024-12-31,21.1
2025-03-31,20.6
2025-06-30,41.04
2025-09-30,48.34
2025-12-31,41.38
