QuarterEnd,VERTU_Close_QuarterEnd
2016-03-31,2.9469
2016-06-30,3.4935
2016-09-30,3.3987
2016-12-31,2.7172
2017-03-31,2.4498
2017-06-30,2.4153
2017-09-30,2.3594
2017-12-31,2.1091
2018-03-31,2.1359
2018-06-30,2.69
2018-09-30,4.3434
2018-12-31,2.9582
2019-03-31,2.7973
2019-06-30,2.8509
2019-09-30,3.1668
2019-12-31,5.1725
2020-03-31,3.6562
2020-06-30,5.4195
2020-09-30,7.2097
2020-12-31,12.8653
2021-03-31,24.2749
2021-06-30,20.6553
2021-09-30,20.2914
2021-12-31,24.3536
2022-03-31,23.4663
2022-06-30,20.6858
2022-09-30,26.7668
2022-12-31,42.6961
2023-03-31,33.9191
2023-06-30,29.8179
2023-09-30,42.9766
2023-12-31,35.4557
2024-03-31,43.8123
2024-06-30,49.7216
2024-09-30,41.5839
2024-12-31,36.72
2025-03-31,32.0
2025-06-30,32.66
2025-09-30,40.7
2025-12-31,42.3
