QuarterEnd,VESTL_Close_QuarterEnd
2016-03-31,4.6224
2016-06-30,5.087
2016-09-30,5.2209
2016-12-31,5.0004
2017-03-31,5.4729
2017-06-30,5.4099
2017-09-30,5.9139
2017-12-31,5.9611
2018-03-31,9.1897
2018-06-30,7.0321
2018-09-30,6.4415
2018-12-31,4.3704
2019-03-31,10.1504
2019-06-30,9.7331
2019-09-30,7.8904
2019-12-31,9.9378
2020-03-31,8.3078
2020-06-30,12.7963
2020-09-30,13.6783
2020-12-31,16.584
2021-03-31,29.5299
2021-06-30,23.8602
2021-09-30,24.3086
2021-12-31,25.04
2022-03-31,25.8
2022-06-30,23.76
2022-09-30,40.0
2022-12-31,71.25
2023-03-31,47.32
2023-06-30,57.0
2023-09-30,63.4
2023-12-31,46.24
2024-03-31,83.45
2024-06-30,78.75
2024-09-30,64.45
2024-12-31,71.3
2025-03-31,48.92
2025-06-30,34.32
2025-09-30,36.4
2025-12-31,28.7
