QuarterEnd,VKGYO_Close_QuarterEnd
2016-03-31,0.3635
2016-06-30,0.3196
2016-09-30,0.3182
2016-12-31,0.3311
2017-03-31,0.4056
2017-06-30,0.4256
2017-09-30,0.401
2017-12-31,0.3805
2018-03-31,0.3863
2018-06-30,0.2971
2018-09-30,0.2695
2018-12-31,0.3013
2019-03-31,0.2725
2019-06-30,0.268
2019-09-30,0.3002
2019-12-31,0.3822
2020-03-31,0.3033
2020-06-30,0.5984
2020-09-30,0.859
2020-12-31,0.7994
2021-03-31,0.6934
2021-06-30,0.4799
2021-09-30,0.4965
2021-12-31,0.5332
2022-03-31,0.6365
2022-06-30,0.7784
2022-09-30,1.0608
2022-12-31,2.423
2023-03-31,1.1676
2023-06-30,1.2545
2023-09-30,2.1206
2023-12-31,1.5477
2024-03-31,1.6845
2024-06-30,1.7614
2024-09-30,1.81
2024-12-31,2.07
2025-03-31,2.09
2025-06-30,2.22
2025-09-30,2.44
2025-12-31,2.48
