QuarterEnd,VKING_Close_QuarterEnd
2016-03-31,0.968
2016-06-30,0.968
2016-09-30,0.9142
2016-12-31,0.9142
2017-03-31,1.0218
2017-06-30,1.0576
2017-09-30,1.0
2017-12-31,1.2
2018-03-31,1.34
2018-06-30,1.49
2018-09-30,1.34
2018-12-31,1.1
2019-03-31,1.0
2019-06-30,1.17
2019-09-30,0.98
2019-12-31,1.87
2020-03-31,3.96
2020-06-30,4.78
2020-09-30,6.34
2020-12-31,9.0
2021-03-31,7.22
2021-06-30,5.02
2021-09-30,6.32
2021-12-31,6.16
2022-03-31,5.73
2022-06-30,5.39
2022-09-30,6.35
2022-12-31,31.96
2023-03-31,35.84
2023-06-30,34.9
2023-09-30,30.1
2023-12-31,24.5
2024-03-31,41.1
2024-06-30,41.58
2024-09-30,37.72
2024-12-31,33.76
2025-03-31,25.0
2025-06-30,30.14
2025-09-30,29.08
2025-12-31,33.1
