QuarterEnd,YATAS_Close_QuarterEnd
2016-03-31,0.6812
2016-06-30,0.8611
2016-09-30,1.041
2016-12-31,1.3521
2017-03-31,2.2106
2017-06-30,3.0717
2017-09-30,5.1384
2017-12-31,7.2745
2018-03-31,8.9967
2018-06-30,5.4648
2018-09-30,3.9136
2018-12-31,4.0215
2019-03-31,4.6243
2019-06-30,4.1565
2019-09-30,5.7309
2019-12-31,6.6036
2020-03-31,4.7143
2020-06-30,7.6652
2020-09-30,8.0071
2020-12-31,13.1417
2021-03-31,13.3964
2021-06-30,11.823
2021-09-30,12.7325
2021-12-31,10.3277
2022-03-31,10.597
2022-06-30,12.7888
2022-09-30,16.7108
2022-12-31,32.7826
2023-03-31,34.1574
2023-06-30,30.672
2023-09-30,38.92
2023-12-31,24.24
2024-03-31,28.7
2024-06-30,35.14
2024-09-30,27.26
2024-12-31,27.56
2025-03-31,26.44
2025-06-30,26.12
2025-09-30,35.1
2025-12-31,39.84
