QuarterEnd,YAYLA_Close_QuarterEnd
2016-03-31,1.9142
2016-06-30,1.318
2016-09-30,1.4931
2016-12-31,1.236
2017-03-31,1.2798
2017-06-30,1.2798
2017-09-30,1.3016
2017-12-31,1.0446
2018-03-31,1.7115
2018-06-30,1.811
2018-09-30,1.0846
2018-12-31,0.94
2019-03-31,0.82
2019-06-30,0.84
2019-09-30,0.94
2019-12-31,1.61
2020-03-31,1.48
2020-06-30,2.93
2020-09-30,3.04
2020-12-31,4.4
2021-03-31,4.07
2021-06-30,3.9
2021-09-30,3.22
2021-12-31,2.98
2022-03-31,2.91
2022-06-30,4.05
2022-09-30,3.99
2022-12-31,6.59
2023-03-31,4.83
2023-06-30,5.19
2023-09-30,7.68
2023-12-31,6.4
2024-03-31,18.49
2024-06-30,17.06
2024-09-30,13.51
2024-12-31,19.79
2025-03-31,20.98
2025-06-30,25.0
2025-09-30,40.6
2025-12-31,28.2
