QuarterEnd,YGGYO_Close_QuarterEnd
2016-03-31,3.1521
2016-06-30,2.8713
2016-09-30,2.7644
2016-12-31,3.1372
2017-03-31,3.2259
2017-06-30,3.0001
2017-09-30,2.9636
2017-12-31,3.3015
2018-03-31,3.2675
2018-06-30,3.2955
2018-09-30,3.2559
2018-12-31,3.1806
2019-03-31,3.5688
2019-06-30,3.6455
2019-09-30,4.5403
2019-12-31,5.7628
2020-03-31,5.599
2020-06-30,5.7189
2020-09-30,6.1811
2020-12-31,5.9837
2021-03-31,6.7879
2021-06-30,7.1905
2021-09-30,8.1454
2021-12-31,10.8399
2022-03-31,11.7381
2022-06-30,18.9269
2022-09-30,17.6376
2022-12-31,27.7705
2023-03-31,31.2418
2023-06-30,30.5794
2023-09-30,34.9454
2023-12-31,32.0867
2024-03-31,39.3634
2024-06-30,44.7429
2024-09-30,53.6137
2024-12-31,57.1452
2025-03-31,71.2709
2025-06-30,82.7
2025-09-30,136.6
2025-12-31,128.3
