QuarterEnd,YGYO_Close_QuarterEnd
2016-03-31,0.068
2016-06-30,0.066
2016-09-30,0.092
2016-12-31,0.114
2017-03-31,0.154
2017-06-30,0.15
2017-09-30,0.14
2017-12-31,0.126
2018-03-31,0.138
2018-06-30,0.104
2018-09-30,0.05
2018-12-31,0.054
2019-03-31,0.052
2019-06-30,0.052
2019-09-30,0.064
2019-12-31,0.128
2020-03-31,0.078
2020-06-30,0.18
2020-09-30,0.178
2020-12-31,0.276
2021-03-31,0.264
2021-06-30,0.212
2021-09-30,0.192
2021-12-31,0.158
2022-03-31,0.162
2022-06-30,0.148
2022-09-30,0.178
2022-12-31,0.386
2023-03-31,0.39
2023-06-30,0.356
2023-09-30,0.518
2023-12-31,0.656
2024-03-31,1.084
2024-06-30,1.85
2024-09-30,1.848
2024-12-31,1.922
2025-03-31,1.058
2025-06-30,0.994
2025-09-30,2.06
2025-12-31,1.28
