QuarterEnd,YKBNK_Close_QuarterEnd
2016-03-31,2.2342
2016-06-30,2.1426
2016-09-30,1.9757
2016-12-31,1.8465
2017-03-31,2.0457
2017-06-30,2.4172
2017-09-30,2.3257
2017-12-31,2.3364
2018-03-31,2.3903
2018-06-30,2.0719
2018-09-30,1.5706
2018-12-31,1.3367
2019-03-31,1.7795
2019-06-30,2.0134
2019-09-30,2.0134
2019-12-31,2.0719
2020-03-31,1.579
2020-06-30,2.0384
2020-09-30,1.7795
2020-12-31,2.5731
2021-03-31,1.8379
2021-06-30,1.8544
2021-09-30,2.069
2021-12-31,2.9018
2022-03-31,3.5028
2022-06-30,3.8043
2022-09-30,6.2117
2022-12-31,10.3763
2023-03-31,9.1718
2023-06-30,12.4398
2023-09-30,17.6918
2023-12-31,18.7269
2024-03-31,26.2023
2024-06-30,33.8
2024-09-30,30.92
2024-12-31,30.62
2025-03-31,24.04
2025-06-30,31.7
2025-09-30,33.94
2025-12-31,36.22
