QuarterEnd,YONGA_Close_QuarterEnd
2016-03-31,6.2605
2016-06-30,3.5129
2016-09-30,3.2462
2016-12-31,2.9216
2017-03-31,3.4421
2017-06-30,3.1118
2017-09-30,3.1118
2017-12-31,2.8604
2018-03-31,17.3658
2018-06-30,6.5996
2018-09-30,11.2069
2018-12-31,6.3218
2019-03-31,5.6322
2019-06-30,7.9023
2019-09-30,6.7303
2019-12-31,8.9997
2020-03-31,9.2237
2020-06-30,25.3237
2020-09-30,36.2421
2020-12-31,29.2432
2021-03-31,26.2111
2021-06-30,21.0864
2021-09-30,18.6322
2021-12-31,25.3862
2022-03-31,22.8142
2022-06-30,23.723
2022-09-30,31.0681
2022-12-31,39.7236
2023-03-31,26.403
2023-06-30,28.3683
2023-09-30,59.1
2023-12-31,42.64
2024-03-31,81.5
2024-06-30,72.4
2024-09-30,70.45
2024-12-31,58.0
2025-03-31,55.0
2025-06-30,59.1
2025-09-30,67.15
2025-12-31,59.0
