QuarterEnd,YYAPI_Close_QuarterEnd
2016-03-31,0.1843
2016-06-30,0.1795
2016-09-30,0.1748
2016-12-31,0.2131
2017-03-31,0.2777
2017-06-30,0.3352
2017-09-30,0.249
2017-12-31,0.2442
2018-03-31,0.2514
2018-06-30,0.1436
2018-09-30,0.0551
2018-12-31,0.0622
2019-03-31,0.0598
2019-06-30,0.0622
2019-09-30,0.0766
2019-12-31,0.158
2020-03-31,0.091
2020-06-30,0.2538
2020-09-30,0.2418
2020-12-31,0.4405
2021-03-31,0.4453
2021-06-30,0.2897
2021-09-30,0.2562
2021-12-31,0.2202
2022-03-31,0.2825
2022-06-30,0.2346
2022-09-30,0.2586
2022-12-31,0.6153
2023-03-31,0.5961
2023-06-30,0.5985
2023-09-30,0.7541
2023-12-31,0.711
2024-03-31,0.8547
2024-06-30,1.4795
2024-09-30,1.1515
2024-12-31,1.4591
2025-03-31,0.8882
2025-06-30,0.9135
2025-09-30,1.95
2025-12-31,1.85
