QuarterEnd,ZOREN_Close_QuarterEnd
2016-03-31,0.7525
2016-06-30,0.7886
2016-09-30,0.7165
2016-12-31,0.6444
2017-03-31,0.6413
2017-06-30,0.7518
2017-09-30,0.8513
2017-12-31,0.8734
2018-03-31,1.1332
2018-06-30,0.9066
2018-09-30,0.7408
2018-12-31,0.6799
2019-03-31,0.6855
2019-06-30,0.6523
2019-09-30,0.6965
2019-12-31,0.9011
2020-03-31,0.586
2020-06-30,1.1332
2020-09-30,1.4262
2020-12-31,1.5313
2021-03-31,1.277
2021-06-30,1.0116
2021-09-30,0.9264
2021-12-31,1.0051
2022-03-31,1.1201
2022-06-30,1.1625
2022-09-30,2.1616
2022-12-31,4.305
2023-03-31,2.6157
2023-06-30,3.46
2023-09-30,5.7
2023-12-31,4.23
2024-03-31,5.95
2024-06-30,5.53
2024-09-30,4.23
2024-12-31,4.36
2025-03-31,3.51
2025-06-30,3.04
2025-09-30,3.56
2025-12-31,3.07
